time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier,trade_cost,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration
2020-07-24 11:38:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,13564,1,0.0,gtc,,0.0,1,
2020-07-24 11:39:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,13807,1,0.0,gtc,,0.0,1,
2020-07-24 11:40:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,14054,1,0.0,gtc,,0.0,1,
2020-07-24 11:41:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,14305,1,0.0,gtc,,0.0,1,
2020-07-24 11:42:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,14561,1,0.0,gtc,,0.0,1,
2020-07-24 11:43:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,14821,1,0.0,gtc,,0.0,1,
2020-07-24 11:44:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,15087,1,0.0,gtc,,0.0,1,
2020-07-24 11:45:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,15356,1,0.0,gtc,,0.0,1,
2020-07-24 11:46:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,15631,1,0.0,gtc,,0.0,1,
2020-07-24 11:47:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,15911,1,0.0,gtc,,0.0,1,
2020-07-24 11:48:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,16195,1,0.0,gtc,,0.0,1,
2020-07-24 11:49:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,16485,1,0.0,gtc,,0.0,1,
2020-07-24 11:50:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,16780,1,0.0,gtc,,0.0,1,
2020-07-24 11:51:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,17080,1,0.0,gtc,,0.0,1,
2020-07-24 11:52:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,17386,1,0.0,gtc,,0.0,1,
2020-07-24 11:53:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,17696,1,0.0,gtc,,0.0,1,
2020-07-24 11:54:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,18013,1,0.0,gtc,,0.0,1,
2020-07-24 11:55:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,18335,1,0.0,gtc,,0.0,1,
2020-07-24 11:56:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,18663,1,0.0,gtc,,0.0,1,
2020-07-24 11:57:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,18997,1,0.0,gtc,,0.0,1,
2020-07-24 11:58:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,19337,1,0.0,gtc,,0.0,1,
2020-07-24 11:59:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,19683,1,0.0,gtc,,0.0,1,
2020-07-24 12:00:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,20035,1,0.0,gtc,,0.0,1,
2020-07-24 12:01:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,20393,1,0.0,gtc,,0.0,1,
2020-07-24 12:02:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,20758,1,0.0,gtc,,0.0,1,
2020-07-24 12:03:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,21129,1,0.0,gtc,,0.0,1,
2020-07-24 12:04:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,21507,1,0.0,gtc,,0.0,1,
2020-07-24 12:05:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,21892,1,0.0,gtc,,0.0,1,
2020-07-24 12:06:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,22283,1,0.0,gtc,,0.0,1,
2020-07-24 12:07:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,22682,1,0.0,gtc,,0.0,1,
2020-07-24 12:08:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,23088,1,0.0,gtc,,0.0,1,
2020-07-24 12:09:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,23501,1,0.0,gtc,,0.0,1,
2020-07-24 12:10:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,23921,1,0.0,gtc,,0.0,1,
2020-07-24 12:11:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,24349,1,0.0,gtc,,0.0,1,
2020-07-24 12:12:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,24784,1,0.0,gtc,,0.0,1,
2020-07-24 12:13:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,25228,1,0.0,gtc,,0.0,1,
2020-07-24 12:14:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,25679,1,0.0,gtc,,0.0,1,
2020-07-24 12:15:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,26138,1,0.0,gtc,,0.0,1,
2020-07-24 12:16:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,26606,1,0.0,gtc,,0.0,1,
2020-07-24 12:17:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,27082,1,0.0,gtc,,0.0,1,
2020-07-24 12:18:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,27566,1,0.0,gtc,,0.0,1,
2020-07-24 12:19:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,28059,1,0.0,gtc,,0.0,1,
2020-07-24 12:20:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,28561,1,0.0,gtc,,0.0,1,
2020-07-24 12:21:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,29072,1,0.0,gtc,,0.0,1,
2020-07-24 12:22:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,29592,1,0.0,gtc,,0.0,1,
2020-07-24 12:23:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,30121,1,0.0,gtc,,0.0,1,
2020-07-24 12:24:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,30660,1,0.0,gtc,,0.0,1,
2020-07-24 12:25:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,31209,1,0.0,gtc,,0.0,1,
2020-07-24 12:26:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,31767,1,0.0,gtc,,0.0,1,
2020-07-24 12:27:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,32335,1,0.0,gtc,,0.0,1,
2020-07-24 12:28:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,32913,1,0.0,gtc,,0.0,1,
2020-07-24 12:29:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,33502,1,0.0,gtc,,0.0,1,
2020-07-24 12:30:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,34101,1,0.0,gtc,,0.0,1,
2020-07-24 12:31:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,34711,1,0.0,gtc,,0.0,1,
2020-07-24 12:32:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,35332,1,0.0,gtc,,0.0,1,
2020-07-24 12:33:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,35964,1,0.0,gtc,,0.0,1,
2020-07-24 12:34:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,36607,1,0.0,gtc,,0.0,1,
2020-07-24 12:35:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,37262,1,0.0,gtc,,0.0,1,
2020-07-24 12:36:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,37929,1,0.0,gtc,,0.0,1,
2020-07-24 12:37:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,38607,1,0.0,gtc,,0.0,1,
2020-07-24 12:38:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,39298,1,0.0,gtc,,0.0,1,
2020-07-24 12:39:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,40001,1,0.0,gtc,,0.0,1,
2020-07-24 12:40:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,40716,1,0.0,gtc,,0.0,1,
2020-07-24 12:41:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,41444,1,0.0,gtc,,0.0,1,
2020-07-24 12:42:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,42186,1,0.0,gtc,,0.0,1,
2020-07-24 12:43:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,42940,1,0.0,gtc,,0.0,1,
2020-07-24 12:44:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,43708,1,0.0,gtc,,0.0,1,
2020-07-24 12:45:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,44490,1,0.0,gtc,,0.0,1,
2020-07-24 12:46:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,45286,1,0.0,gtc,,0.0,1,
2020-07-24 12:47:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,46096,1,0.0,gtc,,0.0,1,
2020-07-24 12:48:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,46921,1,0.0,gtc,,0.0,1,
2020-07-24 12:49:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,47760,1,0.0,gtc,,0.0,1,
2020-07-24 12:50:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,48614,1,0.0,gtc,,0.0,1,
2020-07-24 12:51:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,49484,1,0.0,gtc,,0.0,1,
2020-07-24 12:52:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,50369,1,0.0,gtc,,0.0,1,
2020-07-24 12:53:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,51270,1,0.0,gtc,,0.0,1,
2020-07-24 12:54:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,52187,1,0.0,gtc,,0.0,1,
2020-07-24 12:55:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,53120,1,0.0,gtc,,0.0,1,
2020-07-24 12:56:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,54070,1,0.0,gtc,,0.0,1,
2020-07-24 12:57:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,55038,1,0.0,gtc,,0.0,1,
2020-07-24 12:58:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,56022,1,0.0,gtc,,0.0,1,
2020-07-24 12:59:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,57024,1,0.0,gtc,,0.0,1,
2020-07-24 13:00:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,58044,1,0.0,gtc,,0.0,1,
2020-07-24 13:01:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,59082,1,0.0,gtc,,0.0,1,
2020-07-24 13:02:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,60139,1,0.0,gtc,,0.0,1,
2020-07-24 13:03:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,61215,1,0.0,gtc,,0.0,1,
2020-07-24 13:04:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,62310,1,0.0,gtc,,0.0,1,
2020-07-24 13:05:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,63424,1,0.0,gtc,,0.0,1,
2020-07-24 13:06:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,64559,1,0.0,gtc,,0.0,1,
2020-07-24 13:07:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,65714,1,0.0,gtc,,0.0,1,
2020-07-24 13:08:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,66889,1,0.0,gtc,,0.0,1,
2020-07-24 13:09:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,68085,1,0.0,gtc,,0.0,1,
2020-07-24 13:10:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,69303,1,0.0,gtc,,0.0,1,
2020-07-24 13:11:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,70543,1,0.0,gtc,,0.0,1,
2020-07-24 13:12:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,71805,1,0.0,gtc,,0.0,1,
2020-07-24 13:13:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,73089,1,0.0,gtc,,0.0,1,
2020-07-24 13:14:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,74396,1,0.0,gtc,,0.0,1,
2020-07-24 13:15:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,75727,1,0.0,gtc,,0.0,1,
2020-07-24 13:16:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,77082,1,0.0,gtc,,0.0,1,
2020-07-24 13:17:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,78460,1,0.0,gtc,,0.0,1,
2020-07-24 13:18:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,79864,1,0.0,gtc,,0.0,1,
2020-07-24 13:19:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,81292,1,0.0,gtc,,0.0,1,
2020-07-24 13:20:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,82746,1,0.0,gtc,,0.0,1,
2020-07-24 13:21:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,84227,1,0.0,gtc,,0.0,1,
2020-07-24 13:22:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,85733,1,0.0,gtc,,0.0,1,
2020-07-24 13:23:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,87267,1,0.0,gtc,,0.0,1,
2020-07-24 13:24:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,88828,1,0.0,gtc,,0.0,1,
2020-07-24 13:25:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,90416,1,0.0,gtc,,0.0,1,
2020-07-24 13:26:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,92034,1,0.0,gtc,,0.0,1,
2020-07-24 13:27:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,93680,1,0.0,gtc,,0.0,1,
2020-07-24 13:28:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,95356,1,0.0,gtc,,0.0,1,
2020-07-24 13:29:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,97061,1,0.0,gtc,,0.0,1,
2020-07-24 13:30:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,98797,1,0.0,gtc,,0.0,1,
2020-07-24 13:31:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,100565,1,0.0,gtc,,0.0,1,
2020-07-24 13:32:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,102363,1,0.0,gtc,,0.0,1,
2020-07-24 13:33:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,104194,1,0.0,gtc,,0.0,1,
2020-07-24 13:34:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,106058,1,0.0,gtc,,0.0,1,
2020-07-24 13:35:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,107955,1,0.0,gtc,,0.0,1,
2020-07-24 13:36:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,109886,1,0.0,gtc,,0.0,1,
2020-07-24 13:37:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,111852,1,0.0,gtc,,0.0,1,
2020-07-24 13:38:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,113852,1,0.0,gtc,,0.0,1,
2020-07-24 13:39:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,115889,1,0.0,gtc,,0.0,1,
2020-07-24 13:40:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,117962,1,0.0,gtc,,0.0,1,
2020-07-24 13:41:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,120072,1,0.0,gtc,,0.0,1,
2020-07-24 13:42:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,122219,1,0.0,gtc,,0.0,1,
2020-07-24 13:43:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,124406,1,0.0,gtc,,0.0,1,
2020-07-24 13:44:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,126631,1,0.0,gtc,,0.0,1,
2020-07-24 13:45:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,128896,1,0.0,gtc,,0.0,1,
2020-07-24 13:46:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,131201,1,0.0,gtc,,0.0,1,
